category,image_name
0,Home Furnishing,55b85ea15a1536d46b7190ad6fff8ce7.jpg
1,Baby Care,7b72c92c2f6c40268628ec5f14c6d590.jpg
2,Baby Care,64d5d4a258243731dc7bbb1eef49ad74.jpg
3,Home Furnishing,d4684dcdc759dd9cdf41504698d737d8.jpg
4,Home Furnishing,6325b6870c54cd47be6ebfbffa620ec7.jpg
5,Watches,893aa5ed55f7cff2eccea7758d7a86bd.jpg
6,Watches,f355cc1ccb08bd0d283ed979b7ee7515.jpg
7,Watches,dd0e3470a7e6ed76fd69c2da27721041.jpg
8,Watches,41384da51732c0b4df3de8f395714fbb.jpg
9,Watches,710ed5f2393a4b9e8823aa0029f71f93.jpg
10,Watches,920154acbe49d3202ed7d2ed2df1ea13.jpg
11,Watches,08452abdadb3db1e686b94a9c52fc7b6.jpg
12,Watches,1e8741b5ae27a513546c94b3f3312aee.jpg
13,Watches,189fa66a5fa6f08d2802a62ecf0be298.jpg
14,Watches,bbb8cdc5406ff60ff06ff64630f2ca47.jpg
15,Watches,1120bc768623572513df956172ffefeb.jpg
16,Watches,5479bb7028827d60000720a2c135976a.jpg
17,Watches,733aa1e801a139fa8dc7be9f0eff5ee0.jpg
18,Watches,62c35de4df27437d3597963fac55a8b6.jpg
19,Watches,33d97d63c037078cd3f08033966d6a88.jpg
20,Watches,d7ca2b06b4f4d3b98c61c377b18a2d6b.jpg
21,Watches,f74476ba64365d97a5be7d375cbf4c7a.jpg
22,Watches,fda50982a672ef8835de5c1cc86f8bfc.jpg
23,Watches,4788f5466992da09024b8ffcc8a5cba4.jpg
24,Watches,653826cd53f1d9e2c086c0ac7846ef70.jpg
25,Watches,3c74db45cbfc14a78b8466dca494b3bb.jpg
26,Watches,4aa047f14885c74f155ce5f973e14dff.jpg
27,Watches,7c4fec2331da8d40f2cb146eb198cb57.jpg
28,Watches,b52073e7ed9c00c4108cae4eb0c49c1a.jpg
29,Watches,ee8d9ff65e0fe4278afce7c933d30941.jpg
30,Watches,788dc3a3da91c0f46a7c465e07f91dd4.jpg
31,Watches,29b1ca231e10d5269516b80bf9d0dffc.jpg
32,Watches,8b268c1e68f198ae2e934717d49f48e9.jpg
33,Home Furnishing,b85f8843bb1c297dd5712f0bd287006d.jpg
34,Home Furnishing,a4b09aa7927c59fbb39960b3d7919909.jpg
35,Home Furnishing,81e739c7f3be737152f2e6f520e3494b.jpg
36,Home Decor & Festive Needs,f0938b0d88eac91deee6d5add54097d3.jpg
37,Kitchen & Dining,e9420e9483f16db81c64dddf99f34841.jpg
38,Kitchen & Dining,a3dea07b2f7bf48276d32513091be717.jpg
39,Home Furnishing,66191b4a311b5d9babfc00a71ef97c5b.jpg
40,Baby Care,90e56526f4c5892beac49f262b85150a.jpg
41,Home Furnishing,a79117ea49a0533f641facdb4c99f502.jpg
42,Baby Care,5325213d84c80ad310b6e4b37a1ac824.jpg
43,Beauty and Personal Care,2d50e4c6ccf8befe9335ac8f97a11712.jpg
44,Kitchen & Dining,8050d31bffe6827c804b8222338aafb2.jpg
45,Kitchen & Dining,493d1eb6ad7a48a926092bf994cd0bb0.jpg
46,Kitchen & Dining,3388d05e88972ff9f3e1321dc0cfdc28.jpg
47,Computers,d1899ab1d5c79ddaa311bc9f04d198ed.jpg
48,Kitchen & Dining,e7cab08a267e815c72a26513222783e0.jpg
49,Beauty and Personal Care,02a53d335775b652f22f41b529b9d646.jpg
50,Kitchen & Dining,69446af66066146718cd569f87e99fff.jpg
51,Computers,b4d35b6536b623c83b293eb3a1c02bba.jpg
52,Kitchen & Dining,f01140c02fd09e5c56312a64fa8db3da.jpg
53,Computers,6329ddb46087cb8c09ced95471dd9643.jpg
54,Computers,7e6ae1b372e8e0b509b83ba3658b8107.jpg
55,Computers,e2ae2af58ac50adf4881751ae84a9d8a.jpg
56,Beauty and Personal Care,24e85c590481a7cedfe66597f253f2b2.jpg
57,Beauty and Personal Care,5e84d36ad6db970548498829db8b15de.jpg
58,Beauty and Personal Care,3c4604dba348a99a2dfbbc2cd3928101.jpg
